Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Feb-26,援?궡,SOD-2026-0164,?ㅽ넗諛몃툕,,"NA019,ALS,INT(PCU),EXP",Noah NA,2026-03-06 0:00,Feb-26,82-15930.001,OG,117-81-76942,21,3,0,3,0,0,3872400,0,3872400,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0167,?붿씠?먯뒪 二쇱떇?뚯궗,2026-02-09-CH-05,NOS125-MS (FAIL OPEN),NOD/NOS,2026-04-13 0:00,Feb-26,82-15947.001,CPI,615-81-88675,89,2,0,0,0,2,1880000,0,0,0,1880000
Mar-26,Feb-26,援?궡,SOD-2026-0168,?붿씠?먯뒪 二쇱떇?뚯궗,2026-02-09-CH-01,NOS100-M (FAIL CLOSE),NOD/NOS,2026-04-11 0:00,Feb-26,82-15948.001,CPI,615-81-88675,89,10,0,0,0,10,9956000,0,0,0,9956000
Mar-26,Feb-26,援?궡,SOD-2026-0169,?붿씠?먯뒪 二쇱떇?뚯궗,2026-02-09-CH-02,NOS100-M (FAIL CLOSE),NOD/NOS,2026-06-27 0:00,Feb-26,82-15949.001,CPI,615-81-88675,89,10,0,0,0,10,9956000,0,0,0,9956000
Mar-26,Feb-26,援?궡,SOD-2026-0170,?붿씠?먯뒪 二쇱떇?뚯궗,2026-02-09-CH-03,NOS125-MS (FAIL CLOSE),NOD/NOS,2026-06-27 0:00,Feb-26,82-15950.001,CPI,615-81-88675,89,10,0,0,0,10,15012000,0,0,0,15012000
Mar-26,Feb-26,援?궡,SOD-2026-0171,?ㅽ넗諛몃툕,,SA005,SA,2026-03-05 0:00,Feb-26,82-15931.001,OG,117-81-76942,21,4,0,4,0,0,660000,0,660000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0173,(二? ?붾ぉ嫄댁꽕,,NA006,Noah NA,2026-03-07 0:00,Feb-26,82-15963.001,CPI,416-81-51038,85,1,0,1,0,0,1610000,0,1610000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0174,?⑹옄?뚯궗 以묐낫嫄댁꽕,,SA005 with Ball valve 65A,SA,2026-03-09 0:00,Feb-26,82-15964.001,CPI,610-81-17573,85,1,0,0,0,1,510000,0,0,0,510000
Mar-26,Feb-26,援?궡,SOD-2026-0175,?ㅽ넗諛몃툕,,NA006 ALS,Noah NA,2026-03-06 0:00,Feb-26,82-15933.001,OG,117-81-76942,21,1,0,1,0,0,304000,0,304000,0,0
Mar-26,Feb-26,援?궡,SOD-2026-0178,?쒖씠耳?댁퐯?몃·,JK2026021103,MS01 0.55KW 36.4RPM + BFV500A (INT-ON/OFF) + SBWG-35-1SM,MS,2026-04-25 0:00,Feb-26,82-15965.001,CPI,794-29-00426,78,4,0,0,0,4,10179000,0,0,0,10179000
Mar-26,Feb-26,援?궡,SOD-2026-0178,?쒖씠耳?댁퐯?몃·,JK2026021103,NA050 + BFV200A,Noah NA,2026-03-10 0:00,Feb-26,82-15965.001,CPI,794-29-00426,78,7,0,0,0,7,4400000,0,0,0,4400000
Mar-26,Feb-26,援?궡,SOD-2026-0178,?쒖씠耳?댁퐯?몃·,JK2026021103,NA150 + BFV350A,Noah NA,2026-04-25 0:00,Feb-26,82-15965.001,CPI,794-29-00426,78,3,0,0,0,3,3300000,0,0,0,3300000
Mar-26,Feb-26,援?궡,SOD-2026-0182,(二??쇱떊,PO-4-26-0210-0006 Rev.0,MA01,MA,2026-04-30 0:00,Feb-26,82-15967.001,WAPO,312-81-03840,41,3,0,0,0,3,7000000,0,0,0,7000000
